StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Practice,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,SC0
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Practice: Write every word (including part-words, repetitions and hesitations) that you can hear in the text box below. For any unidentifiable words or sounds, you may insert a question mark (?) instead.


(Note: there are two people in this recording. You do not need to indicate speaker in your transcription.)","Write every word (including part-words, repetitions and hesitations) that you can hear in the text box below. For any unidentifiable words or sounds, you may insert a question mark (?) instead.","Write every word (including part-words, repetitions and hesitations) that you can hear in the text box below. For any unidentifiable words or sounds, you may insert a question mark (?) instead.","Write every word (including part-words, repetitions and hesitations) that you can hear in the text box below. For any unidentifiable words or sounds, you may insert a question mark (?) instead.","Write every word (including part-words, repetitions and hesitations) that you can hear in the text box below. For any unidentifiable words or sounds, you may insert a question mark (?) instead.","Write every word (including part-words, repetitions and hesitations) that you can hear in the text box below. For any unidentifiable words or sounds, you may insert a question mark (?) instead.","Write every word (including part-words, repetitions and hesitations) that you can hear in the text box below. For any unidentifiable words or sounds, you may insert a question mark (?) instead.","Write every word (including part-words, repetitions and hesitations) that you can hear in the text box below. For any unidentifiable words or sounds, you may insert a question mark (?) instead.","Write every word (including part-words, repetitions and hesitations) that you can hear in the text box below. For any unidentifiable words or sounds, you may insert a question mark (?) instead.","Write every word (including part-words, repetitions and hesitations) that you can hear in the text box below. For any unidentifiable words or sounds, you may insert a question mark (?) instead.","Write every word (including part-words, repetitions and hesitations) that you can hear in the text box below. For any unidentifiable words or sounds, you may insert a question mark (?) instead.","Write every word (including part-words, repetitions and hesitations) that you can hear in the text box below. For any unidentifiable words or sounds, you may insert a question mark (?) instead.","Write every word (including part-words, repetitions and hesitations) that you can hear in the text box below. For any unidentifiable words or sounds, you may insert a question mark (?) instead.",Score
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID21_TEXT""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""SC_0NHsX9SALuw0MOp""}"
2020-11-27 08:26:31,2020-11-27 08:39:46,Survey Preview,,100,795,True,2020-11-27 08:39:47,R_A7LB1mhBZcS8IGR,,,,,54.751495361328125,-1.48980712890625,preview,EN,,i don't know i just i suppose i just yeah I don't I don't have the time to,no i play sports I like tennis I like practicing tennis,I should know but uhh transport model,the funny thing is you know the harder you swing it's not going to go anywhere if you just do a timed swing,adjust the height adjust probably go near that thing but if you just time it like a little swoop you'll be fine,"i don't i don't think i could play if i had to walk around
of course",you should put in practice and work out the first bit then i think you wouldn't mind it's like a little challenge if you can't if you can't even get the ball anywhere near,it's like it's bounced off the ground,"if darts can constitute a sport, don't you think anything can constitute a sport",i suppos- well i don't know how would you define a sport I assume it's physical exercise that requires a skill,"physical activity
i mean it's hard work it's not physical",he goes i won't ever tell my kids that i play snooker because i'm ashamed cus it's not even a sport,0
2021-02-05 04:01:58,2021-02-05 04:22:07,IP Address,92.21.103.68,100,1208,True,2021-02-05 04:22:07,R_1dcoVii4Vyl4cBH,,,,,53.900604248046875,-1.106292724609375,anonymous,EN-GB,? chest ? chest ? is a swamp chest isn't a swamp it is ? i'm sure they do other ? ? testing big chips,i don't know i just huffpuff i suppose i just yeah i don't i i don't have the tech get past,no i play sports i like tennis i like badminton,i should've gone but I errrr shone sweet,and the funny thing is you know the harder you swing hmm it's like go anywhere you just you just f*in time the swing hmm furlough,Did you see I adjust probably running out of anything if you just time it like a little scoop it'll be fine,i don't i don't think i've played van warcraft of course,you should be practicing work out the first bit then i think you wouldn't mind it's like a little challenge whff yeah ich keine get the ball anywhere near,"ich klein licht auf ? ? ? ? ? ja ? ? ? ",If snooker and darts can constitute sport do you think anything can constitute sport,Passport well you know how would you define glove i refuse this con exercise ? prize is kid," ? ? ? ? ? ? i mean it's hard work it's not huuurgh",he goes i whatever return my jizz but i very simple rosheen is next on,0
2021-02-05 06:44:41,2021-02-05 06:57:34,IP Address,109.146.85.93,100,773,True,2021-02-05 06:57:34,R_1eS4SqBbeCXHYU6,,,,,51.887298583984375,0.863800048828125,anonymous,EN-GB,that chest chest swap che swap it is ? ?,hello ? I ? I don't think I don't think ?,I don't play sport I'd like to,? errr ?,the ? the harder you swing ? time swing,didya see ? you just timing ? time,I've got a health complaint ? of course,? practising ? the first but after ? it's like a little challenge yeah he's tryna get the ball anywhere near,? should asked ?,? the darts game ? do you think anything ?,I forgot now now ? l refused physical exercise ?,"apparently how well ? ",? I won't ever tell my kids like ? ashamed isn't it ?,0
2021-02-04 14:29:18,2021-02-07 05:21:52,IP Address,2.24.92.111,100,226353,True,2021-02-07 05:21:52,R_3NChR35YKxxCp5z,,,,,52.0625,-0.8166046142578125,anonymous,EN-GB,??? It is im sure theyre doing other things ???,"i dont know i just, i suppose i just, yeah i dont i i dont have the time to ?","no i play sports, i like tennis i like badminton",actual ??? errr shots ?,and the funny thing is the harder you swing its not going anywhere if you just time the swing,"i ?? if you just time like a little scoop ",i dont think id play if i had to walk around.... a golf course,"i wish you could practice and work out the first bit, then i think you wouldnt mind its like a little challenge if you cant even get the ball anywhere near (Ive ignored punctuation btw)",im out a part of it ?????????,if snooker and darts can constitute sport dont you think anything can constitute sport,ive spelled hurrr ?? how would you define sport? I would define as a physical exercise which requires a skill,??? I mean its hard work its not ??,he goes i wont ever tell my kids that i play snooker cause im ashamed its not even a sport,0
2021-02-07 05:48:15,2021-02-07 06:07:58,IP Address,51.6.210.80,100,1183,True,2021-02-07 06:07:58,R_9oDLXO2SXqGJ5DP,,,,,53.2068939208984375,-4.1183929443359375,anonymous,EN-GB,they are chess chess and the swamp chess and the swamp it's I'm sure they do others things chess chocolate chips,come on i just i suppose i just yeah i dont i i don't have the time to ?,no i play sports i like tennis i like rugby too,? golf ? ?,the funny thing is the harder you swing ? ? time ? swing,? the air ? if if you just time it ? like a little ? fine,i d i don't think play if i'm talking of course,you should have practiced it to work out the first bit but i think you wouldn't mind it's like a little challenge yeah ? get the ball anywhere near,it's clearly out of the boundary ? ? ask for ? ?,it's threw ? and darts ? they'll drink anything,i suppose well i don't know how would you define sport i ? physical exercise ? as a kid,? ? ? ? and it means how where ?,It was i would tell my kids that i personally ? am ashamed to live in a swamp,0
2021-02-11 13:26:34,2021-02-11 13:35:21,IP Address,90.249.250.115,100,526,True,2021-02-11 13:35:22,R_1KvuRzhavwracZ8,,,,,53.564697265625,-2.10040283203125,anonymous,EN-GB,is that chess or chess is a sport chess isn't a sport it is I'm sure they do it at the olympics chess championships,I don't know I just I suppose I just yeah I don't I don't have ?  ?,no I play sports I like tennis ?,I ? uh ?,the funny thing is the harder you swing ? ? swing,? if you just time it ?,"I don I don't I'd play if I ? of course ",you should ? practice and work out the first bit then I think you would ? ? like a little challenge ? can't even get the ball anywhere near,"? ? ? ? ? ",If you still ? that darts can constitute a sport don't you think anything can constitute a sport,I suppose well I don't know how would you define a sport I ? physical exercise ?,? I mean it's hard work it's not ?,he goes I won't ever tell my kids that I ? ? ?,0
2021-02-05 04:15:18,2021-02-05 04:24:59,IP Address,92.21.103.68,36,581,False,2021-02-12 04:25:04,R_2S77EBcm4vGUNW4,,,,,,,anonymous,EN-GB,th have chess chess this morn its fuddletwuddle,,,,The only thing is the honey is swim swing,Yeah just just timing yeah just,,,pasta is gud,,,,,0
2021-02-04 11:37:04,2021-02-05 10:35:17,IP Address,2.30.63.181,21,82693,False,2021-02-12 10:35:18,R_2wFhwEQJ62vzv4H,,,,,,,anonymous,EN-GB,That chest chess small this ?,,,,,,,,,?? darts can constitute do you think anything can constitute,,,,0
2021-02-15 06:52:29,2021-02-15 07:39:57,IP Address,95.146.63.22,100,2847,True,2021-02-15 07:39:57,R_3jZ3daWUFBL95M1,,,,,51.8874053955078125,0.9185028076171875,anonymous,EN-GB,"?you see I chess this one, chess this one, it is? I’m sure they’re doing ? Cheers? Cheers","I don’t know. I just ? I still have a dis ?? Yeh, I  don’t I, I don’t have the time?",No I play sports. I like tennis. I like prac...??,????err??,And the funny thing is the harder you swing hmm It’s like Whatever ?? just a tiny swing?? Good for her," ??yous see ??this is probably???but if yous just time it???",I don’t I don’t think I can play if I can help it. Golf course,You should go practise and work out the first bit and then I think you wouldn’t mind. It’s like a little challenge. ? ? If you can hardly get the ball hardly anywhere near,???????????,If  snooker and darts can concentrate ? Do you think anything can concentrate ?,"I thought well I don’t know. How would you define?? I would ? view it as physical exercise I would ? define it as a skill ","????I mean it’s hard work, it’s not easy",Because I won’t ever tell my kids that I play snooker because I’m ashamed because snookers ?,0
2021-02-15 14:26:51,2021-02-15 14:37:42,IP Address,176.249.73.9,100,651,True,2021-02-15 14:37:43,R_1f7aTWrLYv9KPJf,,,,,51.8874053955078125,0.9185028076171875,anonymous,EN-GB,?,come on ? id just rather just ? yeah i dont know ?,? ? ?,?,the funny thing is the harder you ? ? ? ?,"timing ",i dont understand ???,you should put practice in and work on the first bit ? you wouldnt mate ? its like a little challenge yeah ??,? ? ? ?,"? ? ? ","? ? ? ? ",youre wasting my time ? ? ?,i will tell my kids ?,0
